Packet_N GL GP  Date     Time    Lat         Long       Mil Spd Course 
 
00010561 03 02 02/12/11 06:50:50 5544.8057N 03738.7886E 022 000 009.9
00010562 02 02 02/12/11 06:50:55 5544.8034N 03738.7943E 022 000 268.0
00010563 03 02 02/12/11 06:51:00 5544.8010N 03738.8077E 022 000 285.0
00010564 04 02 02/12/11 06:51:05 5544.7970N 03738.8130E 022 000 359.1
00010565 04 02 02/12/11 06:51:10 5544.7881N 03738.8086E 022 020 245.0
00010566 03 02 02/12/11 06:51:15 5544.7743N 03738.7881E 022 016 257.9
00010567 03 02 02/12/11 06:51:20 5544.7666N 03738.7809E 022 014 241.2
00010568 04 02 02/12/11 06:51:25 5544.7595N 03738.7722E 022 022 247.6
00010569 04 02 02/12/11 06:51:29 5544.7544N 03738.7673E 023 010 210.0
00010570 04 02 02/12/11 06:51:30 5544.7526N 03738.7654E 023 012 256.8
00010571 03 02 02/12/11 06:51:35 5544.7494N 03738.7674E 023 001 258.5
00010572 04 02 02/12/11 06:51:40 5544.7470N 03738.7750E 023 006 238.9
00010573 01 03 02/12/11 06:51:45 5544.7477N 03738.7765E 023 000 311.9
00010574 03 03 02/12/11 06:51:50 5544.7495N 03738.7762E 023 001 248.7
00010575 03 04 02/12/11 06:51:55 5544.7444N 03738.7760E 023 001 061.7
00010576 03 04 02/12/11 06:52:00 5544.7439N 03738.7763E 023 000 215.3
00010577 04 03 02/12/11 06:52:05 5544.7406N 03738.7742E 023 003 009.5
00010578 04 05 02/12/11 06:52:10 5544.7398N 03738.7740E 023 000 149.9
00010579 04 05 02/12/11 06:52:12 5544.7365N 03738.7769E 023 018 152.6
00010580 04 05 02/12/11 06:52:17 5544.7171N 03738.7962E 023 030 146.4
00010581 04 05 02/12/11 06:52:22 5544.6977N 03738.8205E 023 033 139.6
00010582 03 05 02/12/11 06:52:27 5544.6791N 03738.8537E 023 032 128.4
00010583 04 06 02/12/11 06:52:32 5544.6619N 03738.8804E 023 022 127.9
00010584 04 05 02/12/11 06:52:35 5544.6544N 03738.8922E 023 018 150.8
00010585 04 04 02/12/11 06:52:40 5544.6473N 03738.8987E 023 005 157.3
00010586 04 06 02/12/11 06:52:45 5544.6445N 03738.9019E 023 004 163.0
00010587 03 05 02/12/11 06:52:50 5544.6344N 03738.9105E 023 018 149.6
00010588 03 04 02/12/11 06:52:55 5544.6168N 03738.9230E 023 027 151.8
00010589 03 04 02/12/11 06:53:00 5544.6003N 03738.9413E 023 029 157.0
00010590 03 04 02/12/11 06:53:05 5544.5788N 03738.9689E 023 027 162.4
00010591 03 04 02/12/11 06:53:10 5544.5594N 03738.9876E 023 023 155.0
00010592 04 04 02/12/11 06:53:13 5544.5536N 03738.9921E 023 007 138.1
00010593 04 02 02/12/11 06:53:16 5544.5512N 03738.9950E 023 009 176.4
00010594 02 04 02/12/11 06:53:17 5544.5503N 03738.9963E 023 010 157.3
00010595 03 03 02/12/11 06:53:22 5544.5475N 03738.9929E 023 007 246.0
00010596 03 03 02/12/11 06:53:23 5544.5468N 03738.9895E 023 010 209.9
00010597 04 02 02/12/11 06:53:25 5544.5426N 03738.9906E 023 012 165.3
00010598 04 02 02/12/11 06:53:30 5544.5333N 03739.0048E 023 013 180.0
00010599 03 03 02/12/11 06:53:33 5544.5289N 03739.0086E 023 014 161.2
00010600 05 02 02/12/11 06:53:38 5544.5073N 03739.0263E 023 038 157.8
00010601 04 03 02/12/11 06:53:43 5544.4737N 03739.0522E 023 049 152.1
00010602 04 04 02/12/11 06:53:48 5544.4453N 03739.0766E 023 028 154.4
00010605 04 03 02/12/11 06:54:04 5544.4358N 03739.0828E 023 000 087.2
00010606 04 02 02/12/11 06:54:08 5544.4315N 03739.0885E 023 014 185.0
00010607 02 04 02/12/11 06:54:11 5544.4218N 03739.0849E 023 035 218.8
00010608 04 04 02/12/11 06:54:16 5544.3941N 03739.0450E 023 058 217.1
00010609 04 04 02/12/11 06:54:21 5544.3589N 03738.9960E 023 054 219.3
00010611 04 04 02/12/11 06:54:31 5544.3168N 03738.9356E 023 014 220.4
00010612 05 05 02/12/11 06:54:41 5544.3064N 03738.9225E 023 023 222.0
00010613 05 05 02/12/11 06:54:51 5544.2649N 03738.8810E 024 034 172.2
00010614 03 04 02/12/11 06:55:01 5544.2123N 03738.8939E 024 026 171.1
00010615 04 05 02/12/11 06:55:11 5544.1600N 03738.9196E 024 053 167.4
00010616 04 05 02/12/11 06:55:16 5544.1195N 03738.9370E 024 061 166.0
00010617 04 05 02/12/11 06:55:16 5544.1195N 03738.9370E 024 061 166.0
00010618 05 05 02/12/11 06:55:20 5544.0841N 03738.9550E 024 065 160.1
00010619 05 06 02/12/11 06:55:22 5544.0658N 03738.9666E 024 066 160.5
00010620 05 06 02/12/11 06:55:27 5544.0170N 03738.9989E 024 069 159.2
00010621 04 06 02/12/11 06:55:32 5543.9766N 03739.0271E 024 075 158.2
00010622 05 06 02/12/11 06:55:35 5543.9356N 03739.0581E 024 071 151.0
00010623 05 06 02/12/11 06:55:40 5543.9002N 03739.0988E 024 070 143.7
00010624 05 06 02/12/11 06:55:42 5543.8759N 03739.1336E 024 068 137.1
00010625 05 06 02/12/11 06:55:47 5543.8395N 03739.1982E 024 068 135.2
00010626 05 06 02/12/11 06:55:52 5543.8101N 03739.2479E 024 064 137.0
00010627 04 06 02/12/11 06:55:57 5543.7710N 03739.3130E 025 051 142.1
00010628 03 06 02/12/11 06:56:02 5543.7449N 03739.3389E 025 055 145.0
00010629 05 05 02/12/11 06:56:07 5543.7108N 03739.3839E 025 056 146.3
00010631 04 04 02/12/11 06:56:09 5543.6883N 03739.4087E 025 060 152.0
00010632 05 05 02/12/11 06:56:12 5543.6626N 03739.4302E 025 066 158.8
00010633 04 06 02/12/11 06:56:19 5543.6005N 03739.4743E 025 063 152.6
00010634 05 06 02/12/11 06:56:24 5543.5573N 03739.5049E 025 062 164.5
00010635 05 04 02/12/11 06:56:26 5543.5388N 03739.5130E 025 065 166.3
00010636 05 05 02/12/11 06:56:31 5543.4886N 03739.5299E 025 071 170.7
00010637 05 05 02/12/11 06:56:37 5543.4234N 03739.5450E 025 074 176.3
00010638 06 05 02/12/11 06:56:44 5543.3515N 03739.5480E 025 056 178.7
00010653 06 05 02/12/11 06:58:07 5543.0487N 03739.7998E 026 025 082.6
00010654 06 06 02/12/11 06:58:08 5543.0484N 03739.8066E 026 024 110.5
00010655 06 06 02/12/11 06:58:09 5543.0463N 03739.8127E 026 029 136.7
00010656 05 04 02/12/11 06:58:11 5543.0374N 03739.8212E 026 042 164.6
00010657 04 05 02/12/11 06:58:14 5543.0189N 03739.8289E 026 050 167.1
00010658 06 05 02/12/11 06:58:19 5542.9778N 03739.8439E 026 063 169.3
00010659 03 05 02/12/11 06:58:24 5542.9351N 03739.8565E 026 046 170.0
00010660 06 05 02/12/11 06:58:29 5542.9117N 03739.8665E 026 019 169.2
00010661 06 05 02/12/11 06:58:34 5542.9033N 03739.8708E 026 005 172.5
00010662 05 06 02/12/11 06:58:39 5542.9033N 03739.8740E 026 000 112.1
00010663 04 05 02/12/11 06:58:44 5542.9035N 03739.8749E 026 000 166.3
00010664 05 06 02/12/11 06:58:49 5542.9034N 03739.8751E 026 000 089.9
00010665 05 05 02/12/11 06:58:54 5542.9034N 03739.8754E 026 000 133.4
00010666 05 04 02/12/11 06:58:59 5542.9016N 03739.8772E 026 002 170.5
00010667 04 03 02/12/11 06:59:04 5542.8963N 03739.8834E 026 003 168.8
00010668 05 05 02/12/11 06:59:09 5542.8928N 03739.8870E 026 004 171.1
00010669 04 05 02/12/11 06:59:14 5542.8785N 03739.8924E 027 027 172.1
00010670 04 05 02/12/11 06:59:19 5542.8564N 03739.8962E 027 035 175.2
00010671 06 05 02/12/11 06:59:25 5542.8213N 03739.9028E 027 042 170.6
00010672 06 06 02/12/11 06:59:30 5542.7915N 03739.9073E 027 039 171.3
00010673 05 06 02/12/11 06:59:35 5542.7687N 03739.9141E 027 024 168.7
00010674 04 06 02/12/11 06:59:40 5542.7428N 03739.9203E 027 036 169.8
00010675 04 05 02/12/11 06:59:45 5542.7212N 03739.9228E 027 015 169.5
00010676 04 06 02/12/11 06:59:46 5542.7195N 03739.9245E 027 010 185.7
00010677 05 04 02/12/11 06:59:51 5542.7176N 03739.9276E 027 001 175.4
00010678 05 05 02/12/11 06:59:56 5542.7175N 03739.9296E 027 000 172.3
00010679 05 05 02/12/11 06:59:59 5542.7133N 03739.9324E 027 011 162.0
00010680 04 05 02/12/11 07:00:02 5542.7071N 03739.9316E 027 013 179.7
00010681 04 05 02/12/11 07:00:07 5542.6940N 03739.9318E 027 017 176.1
00010682 05 04 02/12/11 07:00:10 5542.6855N 03739.9324E 027 015 200.3
00010683 05 06 02/12/11 07:00:12 5542.6810N 03739.9283E 027 016 219.1
00010684 05 06 02/12/11 07:00:17 5542.6735N 03739.9148E 027 009 226.4
00010685 06 06 02/12/11 07:00:22 5542.6700N 03739.9094E 027 004 231.7
00010686 06 06 02/12/11 07:00:27 5542.6687N 03739.9078E 027 001 238.9
00010687 06 06 02/12/11 07:00:32 5542.6686N 03739.9076E 027 000 136.8
00010688 06 05 02/12/11 07:00:37 5542.6685N 03739.9075E 027 000 321.5
00010689 06 06 02/12/11 07:00:42 5542.6685N 03739.9071E 027 000 345.5
